Feature,Mean,Median,Std,Min,Max
Fwd Packet Length Max,6.01803085523251,6.0,0.5021093208318621,6.0,20.0
Fwd Packet Length Mean,6.001444417042173,6.0,0.09423132344562973,3.0,8.666666667
Avg Fwd Segment Size,6.001444417042173,6.0,0.09423132344562973,3.0,8.666666667
Min Packet Length,5.988162113281999,6.0,0.2662501216647026,0.0,6.0
Fwd Packet Length Min,5.988162113281999,6.0,0.2662501216647026,0.0,6.0
Subflow Fwd Packets,4.520072342641054,5.0,0.5751281736439489,1.0,9.0
Total Fwd Packets,4.520072342641054,5.0,0.5751281736439489,1.0,9.0
Bwd Packet Length Max,4.118132244540049,0.0,97.89860855523274,0.0,2920.0
act_data_pkt_fwd,3.5191954621434247,4.0,0.5747291461535227,0.0,7.0
Bwd Packet Length Mean,2.8450245839476063,0.0,63.348904062633885,0.0,1657.285714
Avg Bwd Segment Size,2.8450245839476063,0.0,63.348904062633885,0.0,1657.285714
Bwd IAT Min,2.3660428027292904,0.0,176.9088256981367,0.0,15049.0
Packet Length Std,1.7797495956998053,0.0,40.86240100503039,0.0,1179.048061
Bwd Packet Length Min,1.5551749650617928,0.0,46.06326999436678,0.0,1375.0
ACK Flag Count,0.9990135094401666,1.0,0.03139338150955661,0.0,1.0
Bwd Packet Length Std,0.9850234779356313,0.0,33.23439644956312,0.0,1299.172136
Bwd Header Length,0.23467514317814375,0.0,5.3400178759157555,0.0,172.0
Fwd Packet Length Std,0.013512310584632668,0.0,0.33230244122132074,0.0,10.26320288
Total Backward Packets,0.01096100622037103,0.0,0.2480669317066977,0.0,8.0
Subflow Bwd Packets,0.01096100622037103,0.0,0.2480669317066977,0.0,8.0
Down/Up Ratio,0.002849861617296468,0.0,0.07864487452006592,0.0,6.0
PSH Flag Count,0.0009864905598333928,0.0,0.03139338150955661,0.0,1.0
FIN Flag Count,0.0001096100622037103,0.0,0.010469052067044246,0.0,1.0
URG Flag Count,8.220754665278273e-05,0.0,0.009066589278343279,0.0,1.0
RST Flag Count,0.0,0.0,0.0,0.0,0.0
SYN Flag Count,0.0,0.0,0.0,0.0,0.0
Bwd PSH Flags,0.0,0.0,0.0,0.0,0.0
Fwd PSH Flags,0.0,0.0,0.0,0.0,0.0
Bwd URG Flags,0.0,0.0,0.0,0.0,0.0
Fwd URG Flags,0.0,0.0,0.0,0.0,0.0
CWE Flag Count,0.0,0.0,0.0,0.0,0.0
ECE Flag Count,0.0,0.0,0.0,0.0,0.0
Bwd Avg Bulk Rate,0.0,0.0,0.0,0.0,0.0
Bwd Avg Packets/Bulk,0.0,0.0,0.0,0.0,0.0
Bwd Avg Bytes/Bulk,0.0,0.0,0.0,0.0,0.0
Fwd Avg Bulk Rate,0.0,0.0,0.0,0.0,0.0
Fwd Avg Packets/Bulk,0.0,0.0,0.0,0.0,0.0
Fwd Avg Bytes/Bulk,0.0,0.0,0.0,0.0,0.0
Active Std,0.0,0.0,0.0,0.0,0.0
Init_Win_bytes_backward,-0.06713616309977256,-1.0,14.617642671315412,-1.0,229.0
